10-23 23:57:25, ProcessMonitorThread::checkState, pid: 2356, owner: system, res_mem: 337M, status: S, cpu(%): 54.3, mem(%): 2.1, cmd: com.android.perceptionhost
10-23 23:57:25, ProcessMonitorThread::checkState, pid: 1032, owner: cameraserver, res_mem: 58M, status: S, cpu(%): 41.0, mem(%): 0.3, cmd: vendor.qti.camera.provider@2.8-service_64
10-23 23:57:25, ProcessMonitorThread::checkState, pid: 3097, owner: u0_a133, res_mem: 85M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
10-23 23:57:25, ProcessMonitorThread::checkState, pid: 3029, owner: system, res_mem: 102M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
10-23 23:57:25, ProcessMonitorThread::checkState, pid: 2294, owner: system, res_mem: 126M, status: S, cpu(%): 0.0, mem(%): 0.8, cmd: com.android.cpmcamera
10-23 23:57:25, ProcessMonitorThread::checkState, pid: 2108, owner: system, res_mem: 86M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 2356, owner: system, res_mem: 338M, status: S, cpu(%): 55.6, mem(%): 2.1, cmd: com.android.perceptionhost
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 1032, owner: cameraserver, res_mem: 58M, status: S, cpu(%): 42.7, mem(%): 0.3, cmd: vendor.qti.camera.provider@2.8-service_64
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 3097, owner: u0_a133, res_mem: 85M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 3029, owner: system, res_mem: 102M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 2294, owner: system, res_mem: 126M, status: S, cpu(%): 0.0, mem(%): 0.8, cmd: com.android.cpmcamera
10-23 23:57:35, ProcessMonitorThread::checkState, pid: 2108, owner: system, res_mem: 86M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
10-23 23:57:45, ProcessMonitorThread::checkState, pid: 2356, owner: system, res_mem: 341M, status: S, cpu(%): 56.7, mem(%): 2.1, cmd: com.android.perceptionhost
